20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_sparc_sbz_apr23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_triangulation_jun23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eternalblue_non_wannacry.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_exile_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_f5_bigip_expl_payloads.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fakem_backdoor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_computrace_agent.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_dnc.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_osxagent.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fidelis_phishing_plain_sight.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7_backdoor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin8.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_flame2_orchestrator.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_foudre.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_four_element_sword.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_freemilk.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fujinama_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_furtim.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_dec16.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_jan17.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ghostdragon_gh0st_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_glassRAT.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_golddragon.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_goldenspy.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_greenbug.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_greyenergy.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_grizzlybear_uscert.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hackingteam_rules.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hafnium.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hafnium_log_sigs.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ham_tofu_chches.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hatman.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hellsing_kaspersky.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hidden_cobra.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hiddencobra_bankshot.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hiddencobra_wiper.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hizor_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hkdoor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_iamtheking.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_icefog.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_indetectables_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_industroyer.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_inocnation.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irongate.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger_trendmicro.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ism_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kaspersky_duqu2.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ke3chang.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keyboys.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keylogger_cn.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_khrat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_korplug_fast.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kwampirs.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_laudanum_webshells.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_applejeus.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_aug20.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec17.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec20.yar
